               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  33,            0.045504,             0.02254,            0.033889,             0.50156,              0.8661,             0.63572,             0.40447,            0.028759,           0.0064641,            0.028353,          2.9424e-07,          2.9424e-07,          2.9424e-07
                  34,            0.045566,            0.022557,             0.03386,             0.50309,             0.86666,             0.64135,             0.40555,            0.028798,            0.006443,            0.028294,          2.6653e-07,          2.6653e-07,          2.6653e-07
                  35,            0.045621,            0.022706,            0.033836,             0.50432,             0.86722,             0.64251,             0.41066,            0.028723,           0.0064256,             0.02822,          2.3977e-07,          2.3977e-07,          2.3977e-07
                  36,            0.045439,            0.022735,            0.033719,              0.5053,             0.86361,             0.64338,             0.40958,            0.028727,           0.0064144,            0.028193,          2.1405e-07,          2.1405e-07,          2.1405e-07
                  37,            0.045409,            0.022667,            0.033718,             0.50721,             0.86581,             0.64727,             0.41346,            0.028694,           0.0064071,            0.028134,          1.8948e-07,          1.8948e-07,          1.8948e-07
                  38,             0.04554,            0.022721,            0.033661,             0.50764,             0.86449,             0.64882,             0.41555,            0.028615,           0.0063919,            0.028098,          1.6615e-07,          1.6615e-07,          1.6615e-07
                  39,            0.045424,             0.02277,            0.033624,             0.50898,             0.86448,             0.64931,             0.41636,            0.028612,           0.0063884,            0.028061,          1.4416e-07,          1.4416e-07,          1.4416e-07
                  40,            0.045449,            0.022606,            0.033603,             0.50729,             0.86797,              0.6496,             0.41415,            0.028642,           0.0063805,            0.028026,           1.236e-07,           1.236e-07,           1.236e-07
                  41,            0.045294,            0.022475,            0.033553,             0.50854,             0.86553,             0.65103,             0.41593,            0.028614,           0.0063848,               0.028,          1.0454e-07,          1.0454e-07,          1.0454e-07
                  42,            0.045378,            0.022484,            0.033531,             0.51121,             0.86397,             0.65167,               0.416,            0.028644,           0.0063745,            0.027979,          8.7058e-08,          8.7058e-08,          8.7058e-08
                  43,             0.04524,            0.022667,            0.033483,             0.51213,             0.86503,             0.65252,             0.41667,            0.028598,           0.0063662,             0.02797,          7.1228e-08,          7.1228e-08,          7.1228e-08
                  44,            0.045162,            0.022349,            0.033424,             0.50974,             0.86426,             0.65402,             0.41701,            0.028579,           0.0063813,            0.027944,          5.7111e-08,          5.7111e-08,          5.7111e-08
                  45,            0.045303,            0.022532,            0.033492,             0.51417,             0.86408,             0.65472,             0.41909,            0.028576,           0.0063637,            0.027932,          4.4761e-08,          4.4761e-08,          4.4761e-08
                  46,            0.045231,            0.022642,             0.03347,             0.51246,             0.86422,              0.6544,             0.41821,            0.028575,           0.0063647,            0.027937,          3.4227e-08,          3.4227e-08,          3.4227e-08
                  47,            0.045298,            0.022696,            0.033482,             0.51266,             0.86496,             0.65411,             0.41877,            0.028539,           0.0063635,            0.027925,          2.5551e-08,          2.5551e-08,          2.5551e-08
                  48,            0.045257,             0.02251,             0.03346,             0.51331,             0.86426,             0.65577,             0.41777,            0.028591,           0.0063625,            0.027912,          1.8768e-08,          1.8768e-08,          1.8768e-08
                  49,            0.045316,            0.022575,            0.033445,             0.51271,             0.86423,              0.6555,             0.41909,            0.028565,           0.0063631,            0.027908,          1.3903e-08,          1.3903e-08,          1.3903e-08
