                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                     31,                 1.0986,                 1.0628,                 1.2484,                      1,                    0.5,                   0.75,                  0.525,                 1.6398,                 1.3584,                 2.0448,               0.000812,               0.000812,               0.000812,             1.7228e+09,                     77
                     32,                 1.2104,                 1.1047,                  1.321,                      1,                    0.5,                   0.75,                  0.525,                 1.5277,                 1.1175,                 1.8731,              0.0007724,              0.0007724,              0.0007724,             1.7228e+09,                     80
                     33,                 1.1911,                 1.0899,                 1.2723,                      1,                0.92166,                  0.995,                  0.605,                 1.4941,                 1.3998,                 1.9785,              0.0007328,              0.0007328,              0.0007328,             1.7228e+09,                     82
                     34,                 1.2993,                 1.1673,                   1.33,                      1,                0.95535,                  0.995,                 0.5635,                 1.5284,                 1.9563,                  1.985,              0.0006932,              0.0006932,              0.0006932,             1.7228e+09,                     84
                     35,                 1.2914,                 1.4331,                 1.4385,                0.66667,                      1,                0.82833,                0.62967,                 1.3987,                 1.8212,                 1.9867,              0.0006536,              0.0006536,              0.0006536,             1.7228e+09,                     86
                     36,                 1.0419,                 1.0654,                  1.136,                0.66667,                      1,                0.82833,                 0.5965,                 1.5789,                 1.7897,                 2.0627,               0.000614,               0.000614,               0.000614,             1.7228e+09,                     88
                     37,                  1.161,                 0.9875,                 1.3341,                0.58524,                      1,                0.82833,                0.61071,                 1.6325,                 1.7049,                 2.0191,              0.0005744,              0.0005744,              0.0005744,             1.7228e+09,                     91
                     38,                 1.2172,                0.96888,                 1.3129,                      1,                0.91166,                  0.995,                 0.7295,                  1.351,                 1.7842,                 1.7612,              0.0005348,              0.0005348,              0.0005348,             1.7228e+09,                     93
                     39,                 1.0481,                0.89771,                 1.1933,                      1,                0.85798,                  0.995,                  0.713,                 1.5065,                 1.9336,                 1.8603,              0.0004952,              0.0004952,              0.0004952,             1.7228e+09,                     95
                     40,                 1.1013,                0.82431,                 1.2305,                      1,                0.88907,                  0.995,                 0.7375,                 1.0691,                 1.7901,                 1.6446,              0.0004556,              0.0004556,              0.0004556,             1.7228e+09,                     97
                     41,                0.82254,                0.75495,                0.99225,                      1,                0.96497,                  0.995,                  0.696,                 1.0187,                 1.3836,                  1.544,               0.000416,               0.000416,               0.000416,             1.7228e+09,                    100
                     42,                0.82116,                0.77517,                  0.984,                      1,                0.98507,                  0.995,                 0.6795,                 1.0896,                 1.5013,                 1.5242,              0.0003764,              0.0003764,              0.0003764,             1.7228e+09,                    102
                     43,                0.83474,                0.77919,                0.99357,                0.96069,                      1,                  0.995,                0.67967,                 1.1849,                 2.1452,                 1.5586,              0.0003368,              0.0003368,              0.0003368,             1.7228e+09,                    104
                     44,                0.78929,                0.75183,                 1.0511,                      1,                      1,                  0.995,                  0.821,                 1.1141,                 2.1318,                 1.5782,              0.0002972,              0.0002972,              0.0002972,             1.7228e+09,                    106
                     45,                0.76258,                0.68593,                0.93934,                      1,                      1,                  0.995,                  0.821,                 1.0362,                 1.7992,                 1.5119,              0.0002576,              0.0002576,              0.0002576,             1.7228e+09,                    108
                     46,                0.78672,                0.68881,                0.98362,                      1,                      1,                  0.995,                  0.821,                 1.0223,                  1.976,                 1.4932,               0.000218,               0.000218,               0.000218,             1.7228e+09,                    110
                     47,                0.85986,                0.75422,                 1.0555,                      1,                      1,                  0.995,                 0.7715,                0.96304,                 2.3704,                 1.4681,              0.0001784,              0.0001784,              0.0001784,             1.7228e+09,                    113
                     48,                0.78636,                0.72164,                0.95606,                      1,                      1,                  0.995,                 0.7715,                  1.002,                 2.3325,                  1.486,              0.0001388,              0.0001388,              0.0001388,             1.7228e+09,                    115
                     49,                0.59964,                0.66122,                0.79512,                      1,                      1,                  0.995,                 0.7715,                 1.0107,                  2.159,                 1.4832,               9.92e-05,               9.92e-05,               9.92e-05,             1.7228e+09,                    117
                     50,                0.73545,                0.71336,                 1.0119,                      1,                      1,                  0.995,                  0.821,                0.95555,                 1.9367,                 1.4532,               5.96e-05,               5.96e-05,               5.96e-05,             1.7228e+09,                    119
